Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
Jolly Foul Play,Robin Stevens,eBook,9.99,,None,None,None,None
Cross and Burn,Val McDermid,eBook,11.99,,None,None,None,None
Cross and Burn,Val McDermid,eBook,11.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
What's Tha Up To?,Martyn Johnson,eBook,12.99,,None,None,None,None
What's Tha Up To?,Martyn Johnson,eBook,12.99,,None,None,None,None
What's Tha Up To?,Martyn Johnson,eBook,12.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Pathfinder's Way,T.A. White,eBook,4.15,,None,None,None,None
Pathfinder's Way,T.A. White,eBook,4.15,,None,None,None,None
Pathfinder's Way,T.A. White,eBook,4.15,,None,None,None,None
Inception,Bianca Scardoni,eBook,,,None,None,None,None
Inception,Bianca Scardoni,eBook,,,None,None,None,None
Inception,Bianca Scardoni,eBook,,,None,None,None,None
Barbarians at the Gate,Bryan Burrough,eBook,6.99,,None,None,None,None
Barbarians at the Gate,Bryan Burrough,eBook,6.99,,None,None,None,None
Allotment Gardening for Dummies,Sven Wombwell,,,,None,None,None,None
Allotment Gardening for Dummies,Sven Wombwell,,,,None,None,None,None
Allotment Gardening for Dummies,Sven Wombwell,,,,None,None,None,None
Bad Behavior,Mary Gaitskill,eBook,15.99,,None,None,None,None
Bad Behavior,Mary Gaitskill,eBook,15.99,,None,None,None,None
Bad Behavior,Mary Gaitskill,eBook,15.99,,None,None,None,None
Bad Behavior,Mary Gaitskill,eBook,15.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
The Last,Hanna Jameson,eBook,15.99,,None,None,None,None
The Last,Hanna Jameson,eBook,15.99,,None,None,None,None
The Last,Hanna Jameson,eBook,15.99,,None,None,None,None
2nd Chance,James Patterson,eBook,12.99,,None,None,None,None
2nd Chance,James Patterson,eBook,12.99,,None,None,None,None
2nd Chance,James Patterson,eBook,12.99,,None,None,None,None
2nd Chance,James Patterson,eBook,12.99,,None,None,None,None
2nd Chance,James Patterson,eBook,12.99,,None,None,None,None
The End,Ian Kershaw,eBook,16.99,,None,None,None,None
The End,Ian Kershaw,eBook,16.99,,None,None,None,None
The End,Ian Kershaw,eBook,16.99,,None,None,None,None
The End,Ian Kershaw,eBook,16.99,,None,None,None,None
The End,Ian Kershaw,eBook,16.99,,None,None,None,None
The End,Ian Kershaw,eBook,16.99,,None,None,None,None
The End,Ian Kershaw,eBook,16.99,,None,None,None,None
The End,Ian Kershaw,eBook,16.99,,None,None,None,None
Cold Days,Jim Butcher,Paperback,20.40,,None,None,None,None
Silent Scream (The Minneapolis Series Book 2),Karen Rose,eBook,11.99,,None,None,None,None
Silent Scream (The Minneapolis Series Book 2),Karen Rose,eBook,11.99,,None,None,None,None
Silent Scream (The Minneapolis Series Book 2),Karen Rose,eBook,11.99,,None,None,None,None
Afghan Heat,Steve Stone,eBook,5.18,,None,None,None,None
Afghan Heat,Steve Stone,eBook,5.18,,None,None,None,None
Afghan Heat,Steve Stone,eBook,5.18,,None,None,None,None
Afghan Heat,Steve Stone,eBook,5.18,,None,None,None,None
Dark Watch,Clive Cussler,eBook,14.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Uprooted,Naomi Novik,eBook,,,None,None,None,None
Uprooted,Naomi Novik,eBook,,,None,None,None,None
Uprooted,Naomi Novik,eBook,,,None,None,None,None
Absolute Friends,John le Carré,eBook,15.99,,None,None,None,None
Keeping Up Appearances,Elizabeth Stevens,eBook,,,None,None,None,None
Keeping Up Appearances,Elizabeth Stevens,eBook,,,None,None,None,None
Keeping Up Appearances,Elizabeth Stevens,eBook,,,None,None,None,None
Keeping Up Appearances,Elizabeth Stevens,eBook,,,None,None,None,None
A Dark-Adapted Eye,Barbara Vine,eBook,15.99,,None,None,None,None
A Dark-Adapted Eye,Barbara Vine,eBook,15.99,,None,None,None,None
A Dark-Adapted Eye,Barbara Vine,eBook,15.99,,None,None,None,None
Ambush,Geraint Jones,eBook,15.99,,None,None,None,None
Sins of Empire,Brian McClellan,eBook,12.99,,None,None,None,None
Sins of Empire,Brian McClellan,eBook,12.99,,None,None,None,None
Sins of Empire,Brian McClellan,eBook,12.99,,None,None,None,None
